(second, ((avg best buy, avg best ask), (#crossings best buy, #crossings best ask)))
(u'041024', ((554.16999999999996, 556.16500000000008), (0, 6)))
(u'041028', ((554.16999999999996, 556.19333333333327), (0, 1)))
(u'041029', ((554.16999999999996, 556.11000000000001), (0, 0)))
(u'041030', ((554.16999999999996, 556.22000000000003), (0, 1)))
(u'041039', ((554.16999999999996, 556.125), (0, 2)))
(u'041042', ((554.16999999999996, 556.18999999999994), (0, 1)))
(u'041043', ((554.16999999999996, 556.22333333333336), (0, 2)))
(u'041044', ((554.16999999999996, 556.1877777777778), (0, 9)))
(u'041045', ((554.16999999999996, 556.16999999999996), (0, 2)))
(u'041046', ((554.16999999999996, 556.21000000000004), (0, 2)))
(u'041051', ((554.16999999999996, 556.125), (0, 1)))
(u'041059', ((554.16999999999996, 556.11000000000001), (0, 0)))
(u'041105', ((554.16999999999996, 556.19999999999993), (0, 2)))
(u'041106', ((554.16999999999996, 556.125), (0, 1)))
(u'041157', ((554.16999999999996, 556.18000000000006), (0, 3)))
(u'041158', ((554.16999999999996, 556.19333333333327), (0, 1)))
(u'041203', ((554.16999999999996, 556.20999999999992), (0, 1)))
(u'041204', ((554.16999999999996, 556.22166666666669), (0, 2)))
(u'041207', ((554.16999999999996, 556.27999999999997), (0, 1)))
(u'041210', ((554.16999999999996, 556.16499999999996), (0, 2)))
(u'041215', ((554.16999999999996, 556.24000000000001), (0, 1)))
(u'041216', ((554.16999999999996, 556.14999999999998), (0, 0)))
(u'041218', ((554.16999999999996, 556.13999999999999), (0, 0)))
(u'041236', ((554.16999999999996, 556.13), (0, 0)))
(u'041249', ((554.16999999999996, 556.25), (0, 1)))
(u'041250', ((554.16999999999996, 556.14999999999998), (0, 0)))
(u'041253', ((554.16999999999996, 556.18999999999994), (0, 3)))
(u'041254', ((554.16999999999996, 556.22333333333336), (0, 1)))
(u'041255', ((554.16999999999996, 556.10500000000002), (0, 1)))
(u'041301', ((554.16999999999996, 556.19000000000005), (0, 2)))
(u'041307', ((554.16999999999996, 556.13999999999999), (0, 0)))
(u'041309', ((554.16999999999996, 556.20100000000002), (0, 4)))
(u'041313', ((554.16999999999996, 556.13999999999999), (0, 0)))
(u'041319', ((554.16999999999996, 556.17999999999995), (0, 0)))
(u'041321', ((554.16999999999996, 556.22000000000003), (0, 1)))
(u'041322', ((554.16999999999996, 556.22400000000005), (0, 1)))
(u'041326', ((554.16999999999996, 556.26999999999998), (0, 1)))
(u'041327', ((554.16999999999996, 556.27250000000004), (0, 4)))
(u'041330', ((554.16999999999996, 556.40499999999997), (0, 1)))
(u'041332', ((554.16999999999996, 556.34500000000003), (0, 1)))
(u'041336', ((554.16999999999996, 556.32500000000005), (0, 1)))
(u'041355', ((554.16999999999996, 556.29999999999995), (0, 2)))
(u'041358', ((554.16999999999996, 556.27999999999997), (0, 0)))
(u'041449', ((554.16999999999996, 556.255), (0, 1)))
(u'041453', ((554.16999999999996, 556.125), (0, 1)))
(u'041500', ((554.16999999999996, 556.2299999999999), (0, 1)))
(u'041501', ((554.16999999999996, 556.16499999999996), (0, 1)))
(u'041502', ((554.16999999999996, 556.1825), (0, 2)))
(u'041503', ((554.16999999999996, 556.18500000000006), (0, 2)))
(u'041504', ((554.16999999999996, 556.17399999999998), (0, 2)))
(u'041506', ((554.16999999999996, 556.20999999999992), (0, 1)))
(u'041519', ((554.16999999999996, 556.11500000000001), (0, 1)))
(u'041520', ((554.16999999999996, 556.28666666666663), (0, 4)))
(u'041522', ((554.16999999999996, 556.28499999999997), (0, 1)))
(u'041525', ((554.16999999999996, 556.26999999999998), (0, 0)))
(u'041530', ((554.16999999999996, 556.255), (0, 1)))
(u'041531', ((554.16999999999996, 556.24000000000001), (0, 0)))
(u'041541', ((554.16999999999996, 556.28499999999997), (0, 2)))
(u'041544', ((554.16999999999996, 556.25), (0, 0)))
(u'041548', ((554.16999999999996, 556.31999999999994), (0, 1)))
(u'041549', ((554.16999999999996, 556.27999999999997), (0, 0)))
(u'041550', ((554.16999999999996, 556.26999999999998), (0, 0)))
(u'041551', ((554.16999999999996, 556.19000000000005), (0, 1)))
(u'041552', ((554.16999999999996, 556.10000000000002), (0, 1)))
(u'041553', ((554.16999999999996, 556.1966666666666), (0, 3)))
(u'041554', ((554.16999999999996, 556.20857142857153), (0, 9)))
(u'041555', ((554.16999999999996, 556.19000000000005), (0, 2)))
(u'041559', ((554.16999999999996, 556.20666666666659), (0, 1)))
(u'041600', ((554.16999999999996, 556.23199999999997), (0, 2)))
(u'041606', ((554.16999999999996, 556.27749999999992), (0, 3)))
(u'041611', ((554.16999999999996, 556.25999999999999), (0, 0)))
(u'041630', ((552.10249999999996, 558.09000000000003), (1, 1)))
(u'041632', ((554.16999999999996, 556.07500000000005), (0, 1)))
(u'041637', ((554.16999999999996, 556.15499999999997), (0, 4)))
(u'041643', ((554.16999999999996, 556.14250000000004), (0, 3)))
(u'041644', ((554.16999999999996, 556.15000000000009), (0, 2)))
(u'041653', ((550.86199999999997, 557.67399999999998), (2, 1)))
(u'041656', ((554.16999999999996, 556.01999999999998), (0, 0)))
(u'041657', ((554.16999999999996, 556.00999999999999), (0, 0)))
(u'041658', ((554.16999999999996, 556.0), (0, 0)))
(u'041705', ((554.16999999999996, 556.05499999999995), (0, 1)))
(u'041706', ((554.16999999999996, 556.03999999999996), (0, 0)))
(u'041708', ((554.16999999999996, 556.07142857142856), (0, 2)))
(u'041709', ((554.16999999999996, 556.08500000000004), (0, 2)))
(u'041717', ((554.16999999999996, 556.14249999999993), (0, 1)))
(u'041728', ((554.16999999999996, 556.08833333333337), (0, 4)))
(u'041730', ((554.16999999999996, 556.10000000000002), (0, 1)))
(u'041731', ((554.16999999999996, 556.11666666666667), (0, 2)))
(u'041733', ((554.16999999999996, 556.02499999999998), (0, 1)))
(u'041734', ((554.16999999999996, 556.00999999999999), (0, 0)))
(u'041746', ((554.16999999999996, 555.45000000000005), (0, 0)))
(u'041757', ((553.24333333333334, 555.45000000000005), (2, 0)))
(u'041847', ((545.89999999999998, 559.625), (0, 1)))
(u'041850', ((554.2650000000001, 555.45000000000005), (1, 0)))
(u'041858', ((554.26333333333332, 555.45000000000005), (1, 0)))
(u'041904', ((554.25, 555.45000000000005), (1, 0)))
(u'041905', ((554.245, 554.95000000000005), (1, 0)))
(u'041932', ((545.89999999999998, 559.39499999999998), (0, 1)))
(u'042054', ((554.21000000000004, 554.94000000000005), (0, 0)))
(u'042056', ((554.21500000000003, 554.95000000000005), (1, 0)))
(u'042057', ((554.22800000000007, 554.95000000000005), (1, 0)))
(u'042058', ((554.21000000000004, 554.95000000000005), (0, 0)))
(u'042116', ((554.21000000000004, 554.62), (0, 0)))
(u'042129', ((554.21000000000004, 554.91600000000005), (0, 4)))
(u'042134', ((554.21000000000004, 554.95000000000005), (0, 0)))
(u'042136', ((554.21000000000004, 554.95000000000005), (0, 0)))
(u'042138', ((554.16999999999996, 554.95000000000005), (1, 0)))
(u'042141', ((554.19000000000005, 554.95000000000005), (0, 0)))
(u'042153', ((554.12857142857149, 554.94999999999993), (4, 0)))
(u'042201', ((554.14999999999998, 554.62), (0, 0)))
(u'042204', ((554.12249999999995, 554.62), (3, 0)))
(u'042205', ((554.09333333333336, 554.62), (2, 0)))
(u'042206', ((554.13499999999999, 554.62), (1, 0)))
(u'042224', ((554.15499999999997, 554.62), (1, 0)))
(u'042305', ((554.11333333333334, 554.62), (2, 0)))
(u'042306', ((554.14999999999998, 554.62), (0, 0)))
(u'042308', ((552.72499999999991, 554.62), (1, 0)))
(u'042311', ((554.05999999999995, 554.62), (0, 0)))
(u'042323', ((554.01333333333332, 554.62), (1, 0)))
(u'042325', ((554.03999999999996, 554.62), (0, 0)))
(u'042333', ((554.03999999999996, 554.62), (0, 0)))
(u'042344', ((554.03999999999996, 554.62), (0, 0)))
(u'042454', ((554.05333333333328, 554.62), (1, 0)))
(u'042455', ((554.08000000000004, 554.62), (0, 0)))
(u'042457', ((554.09000000000003, 554.62), (0, 0)))
(u'042512', ((554.09000000000003, 554.94000000000005), (0, 0)))
(u'042522', ((554.0474999999999, 554.62), (3, 0)))
(u'042525', ((554.06500000000005, 554.62), (1, 0)))
(u'042823', ((554.09000000000003, 555.01499999999999), (0, 1)))
(u'042833', ((554.09000000000003, 554.98000000000002), (0, 1)))
(u'042917', ((554.09000000000003, 554.95499999999993), (0, 1)))
(u'043001', ((554.11000000000001, 554.60500000000002), (0, 1)))
(u'043002', ((554.11000000000001, 554.60249999999996), (0, 5)))
(u'043003', ((554.11000000000001, 554.57499999999993), (0, 4)))
(u'043005', ((554.11000000000001, 554.60500000000002), (0, 1)))
(u'043006', ((554.11000000000001, 554.55499999999995), (0, 4)))
(u'043007', ((554.11000000000001, 554.505), (0, 1)))
(u'043008', ((554.11000000000001, 554.52999999999997), (0, 1)))
(u'043009', ((554.11000000000001, 554.59000000000003), (0, 3)))
(u'043010', ((554.11000000000001, 554.55499999999995), (0, 2)))
(u'043011', ((554.11000000000001, 554.51499999999999), (0, 1)))
(u'043013', ((554.11000000000001, 554.57333333333327), (0, 2)))
(u'043016', ((554.11000000000001, 554.52999999999997), (0, 0)))
(u'043018', ((554.11000000000001, 554.58000000000004), (0, 1)))
(u'043020', ((554.11000000000001, 554.52999999999997), (0, 1)))
(u'043021', ((554.11000000000001, 554.54999999999995), (0, 1)))
(u'043022', ((554.11000000000001, 554.58500000000004), (0, 1)))
(u'043026', ((554.16333333333341, 554.54666666666662), (1, 1)))
(u'043034', ((554.19000000000005, 554.52499999999998), (0, 1)))
(u'043035', ((554.19000000000005, 554.49000000000001), (0, 4)))
(u'043036', ((554.19000000000005, 554.45000000000005), (0, 0)))
(u'043037', ((554.19000000000005, 554.43499999999995), (0, 1)))
(u'043038', ((554.19000000000005, 554.38249999999994), (0, 3)))
(u'043040', ((554.19000000000005, 554.44999999999993), (0, 1)))
(u'043041', ((554.19000000000005, 554.35000000000002), (0, 0)))
(u'043042', ((554.19000000000005, 554.46999999999991), (0, 1)))
(u'043045', ((554.19000000000005, 554.46999999999991), (0, 2)))
(u'043048', ((554.19000000000005, 554.53500000000008), (0, 1)))
(u'043052', ((554.19000000000005, 554.55500000000006), (0, 1)))
(u'043053', ((554.19000000000005, 554.57500000000005), (0, 1)))
(u'043055', ((554.19000000000005, 554.59500000000003), (0, 1)))
(u'043056', ((554.19000000000005, 554.54250000000002), (0, 3)))
(u'043057', ((554.19000000000005, 554.51999999999998), (0, 0)))
(u'043058', ((554.10000000000002, 554.35500000000002), (1, 1)))
(u'043059', ((554.11000000000001, 554.55999999999995), (0, 2)))
(u'043100', ((554.10000000000002, 554.49000000000001), (1, 1)))
(u'043101', ((554.11000000000001, 554.55999999999995), (0, 0)))
(u'043102', ((554.11000000000001, 554.53999999999996), (0, 0)))
(u'043104', ((554.11000000000001, 554.60000000000002), (0, 3)))
(u'043105', ((554.11000000000001, 554.60249999999996), (0, 2)))
(u'043106', ((554.11000000000001, 554.54499999999996), (0, 1)))
(u'043112', ((554.11000000000001, 554.55124999999998), (0, 2)))
(u'043116', ((554.11000000000001, 554.49000000000001), (0, 1)))
(u'043117', ((554.11000000000001, 554.46500000000003), (0, 1)))
(u'043120', ((553.94000000000005, 554.46000000000004), (1, 0)))
(u'043121', ((554.09000000000003, 554.35000000000002), (0, 0)))
(u'043122', ((554.0, 554.45000000000005), (0, 0)))
(u'043123', ((551.30000000000007, 554.40333333333331), (2, 1)))
(u'043125', ((554.0, 554.40999999999997), (0, 0)))
(u'043129', ((554.0, 554.39999999999998), (0, 0)))
(u'043135', ((554.0, 554.38), (0, 0)))
(u'043136', ((554.0, 554.37), (0, 0)))
(u'043137', ((554.0, 554.47333333333336), (0, 1)))
(u'043139', ((554.0, 554.41499999999996), (0, 2)))
(u'043141', ((554.0, 554.44999999999993), (0, 2)))
(u'043143', ((554.0, 554.36000000000001), (0, 1)))
(u'043144', ((554.0, 554.34000000000003), (0, 0)))
(u'043146', ((553.66999999999996, 554.33750000000009), (1, 1)))
(u'043147', ((553.66999999999996, 554.32000000000005), (0, 0)))
(u'043149', ((553.66999999999996, 554.44333333333327), (0, 1)))
(u'043150', ((553.66999999999996, 554.44666666666672), (0, 1)))
(u'043151', ((553.66999999999996, 554.36000000000001), (0, 0)))
(u'043152', ((553.66999999999996, 554.50999999999999), (0, 1)))
(u'043153', ((553.66999999999996, 554.38999999999999), (0, 0)))
(u'043200', ((553.66999999999996, 554.42499999999995), (0, 1)))
(u'043201', ((553.66999999999996, 554.47749999999996), (0, 1)))
(u'043202', ((553.66999999999996, 554.40999999999997), (0, 1)))
(u'043203', ((553.66999999999996, 554.375), (0, 3)))
(u'043204', ((553.66999999999996, 554.35000000000002), (0, 0)))
(u'043207', ((553.66999999999996, 554.31166666666661), (0, 5)))
(u'043208', ((553.58000000000004, 554.24375000000009), (2, 3)))
(u'043209', ((553.65857142857146, 554.36714285714277), (1, 3)))
(u'043211', ((553.66999999999996, 554.255), (0, 2)))
(u'043212', ((553.49000000000001, 554.23749999999995), (2, 2)))
(u'043213', ((553.49000000000001, 554.21800000000007), (1, 2)))
(u'043215', ((553.47599999999989, 554.18200000000002), (1, 2)))
(u'043216', ((553.37333333333333, 554.17999999999995), (1, 0)))
(u'043217', ((553.55499999999995, 554.17999999999995), (1, 0)))
(u'043218', ((553.57000000000005, 554.17999999999995), (0, 0)))
(u'043219', ((553.59400000000005, 554.27599999999995), (1, 2)))
(u'043220', ((553.60000000000002, 554.19500000000005), (0, 1)))
(u'043221', ((553.61333333333334, 554.2166666666667), (1, 2)))
(u'043222', ((553.51833333333332, 554.21500000000003), (1, 3)))
(u'043223', ((553.63499999999999, 554.31000000000006), (5, 4)))
(u'043224', ((553.66999999999996, 554.25999999999999), (0, 0)))
(u'043226', ((553.49749999999995, 554.24250000000006), (1, 2)))
(u'043230', ((553.63999999999999, 554.23000000000002), (0, 0)))
(u'043233', ((553.07399999999996, 553.52800000000002), (3, 1)))
(u'043247', ((553.04999999999995, 554.15999999999997), (0, 2)))
(u'043253', ((553.04999999999995, 553.5), (0, 0)))
(u'043412', ((553.05000000000007, 553.88499999999999), (0, 4)))
(u'043501', ((553.04999999999995, 554.0), (0, 0)))
(u'043704', ((553.04999999999995, 554.0), (0, 0)))
(u'043726', ((553.04999999999995, 554.0), (0, 0)))
(u'043821', ((553.04999999999995, 553.98333333333335), (0, 1)))
(u'043822', ((553.04999999999995, 553.995), (0, 1)))
(u'043825', ((553.04999999999995, 553.97500000000002), (0, 1)))
(u'043826', ((553.04999999999995, 554.0), (0, 0)))
(u'043847', ((553.04999999999995, 553.98500000000001), (0, 3)))
(u'043851', ((553.04999999999995, 553.995), (0, 1)))
(u'043854', ((553.04999999999995, 554.0), (0, 0)))
(u'043903', ((552.78666666666675, 553.05000000000007), (3, 0)))
(u'043914', ((552.78999999999996, 553.04999999999995), (0, 0)))
(u'043928', ((552.79999999999995, 553.04999999999995), (0, 0)))
(u'043931', ((552.84499999999991, 553.05000000000007), (5, 0)))
(u'043932', ((552.88, 553.04999999999995), (0, 0)))
(u'043933', ((552.90999999999997, 553.04999999999995), (2, 0)))
(u'043939', ((552.94857142857131, 553.91285714285709), (2, 3)))
(u'043940', ((552.5112499999999, 553.95687499999997), (8, 7)))
(u'043941', ((551.37142857142862, 554.04999999999995), (2, 1)))
(u'043943', ((552.11000000000001, 554.0), (0, 0)))
(u'044011', ((551.755, 554.0), (1, 0)))
(u'044016', ((552.11000000000001, 553.00999999999999), (0, 0)))
(u'044027', ((552.29999999999995, 553.00999999999999), (0, 0)))
(u'044100', ((545.89999999999998, 553.0), (0, 0)))
(u'044143', ((545.89999999999998, 553.0), (0, 0)))
(u'044313', ((552.29999999999995, 553.00999999999999), (0, 0)))
(u'044320', ((552.29999999999995, 553.00999999999999), (0, 0)))
(u'044321', ((552.30499999999995, 553.00999999999999), (1, 0)))
(u'044344', ((545.89999999999998, 553.65000000000009), (0, 1)))
(u'044402', ((545.89999999999998, 553.625), (0, 1)))
(u'044418', ((552.29999999999995, 553.00999999999999), (0, 0)))
(u'044424', ((552.31500000000005, 553.00999999999999), (1, 0)))
(u'044425', ((552.36000000000001, 553.00999999999999), (0, 0)))
(u'044430', ((552.37, 553.00999999999999), (0, 0)))
(u'044439', ((552.38, 553.00999999999999), (0, 0)))
(u'044440', ((552.39999999999998, 553.00999999999999), (0, 0)))
(u'044442', ((552.32999999999993, 553.00999999999999), (1, 0)))
(u'044443', ((552.33749999999998, 553.00999999999999), (3, 0)))
(u'044449', ((552.38999999999999, 553.00999999999999), (1, 0)))
(u'044452', ((552.37, 553.00999999999999), (1, 0)))
(u'044453', ((552.33750000000009, 553.00999999999999), (2, 0)))
(u'044454', ((552.3900000000001, 553.00999999999999), (2, 0)))
(u'044455', ((552.41999999999996, 553.00999999999999), (0, 0)))
(u'044457', ((552.36749999999995, 553.00999999999999), (2, 0)))
(u'044458', ((552.40999999999997, 553.00999999999999), (0, 0)))
(u'044500', ((552.34666666666669, 553.00999999999999), (1, 0)))
(u'044505', ((552.39499999999998, 553.00999999999999), (1, 0)))
(u'044506', ((552.41999999999996, 553.00999999999999), (1, 0)))
(u'044507', ((552.44000000000005, 553.00999999999999), (0, 0)))
(u'044508', ((552.35521739130422, 553.0100000000001), (14, 0)))
(u'044509', ((552.375, 553.00999999999999), (1, 0)))
(u'044510', ((552.37714285714287, 553.0100000000001), (1, 0)))
(u'044511', ((552.41999999999996, 553.00999999999999), (0, 0)))
(u'044518', ((552.43499999999995, 553.00999999999999), (1, 0)))
(u'044521', ((552.34960000000001, 553.0100000000001), (12, 0)))
(u'044531', ((552.32000000000005, 553.00999999999999), (1, 0)))
(u'044533', ((552.35000000000002, 553.00999999999999), (0, 0)))
(u'044535', ((552.36000000000001, 553.00999999999999), (0, 0)))
(u'044537', ((552.37, 553.00999999999999), (0, 0)))
(u'044539', ((552.32200000000012, 553.00999999999999), (3, 0)))
(u'044543', ((552.35000000000002, 553.00999999999999), (0, 0)))
(u'044547', ((552.36000000000001, 553.00999999999999), (0, 0)))
(u'044556', ((552.36000000000001, 552.97000000000003), (0, 0)))
(u'044557', ((552.37, 552.97000000000003), (0, 0)))
(u'044607', ((552.37799999999993, 553.00599999999997), (2, 2)))
(u'044612', ((552.39999999999998, 553.005), (0, 1)))
(u'044614', ((552.41499999999996, 553.00999999999999), (1, 0)))
(u'044618', ((552.43499999999995, 553.00999999999999), (1, 0)))
(u'044619', ((552.45000000000005, 553.00999999999999), (0, 0)))
(u'044621', ((552.46500000000003, 553.00999999999999), (1, 0)))
(u'044622', ((552.48000000000002, 553.00999999999999), (0, 0)))
(u'044625', ((552.36714285714288, 553.0100000000001), (2, 0)))
(u'044626', ((552.36866666666663, 553.0100000000001), (10, 0)))
(u'044627', ((552.40999999999997, 553.00999999999999), (0, 0)))
(u'044629', ((552.29999999999995, 553.00999999999999), (0, 0)))
(u'044650', ((552.30333333333328, 553.00999999999999), (2, 0)))
(u'044651', ((552.30999999999995, 553.00999999999999), (0, 0)))
(u'044652', ((552.29999999999995, 553.00999999999999), (0, 0)))
(u'044832', ((552.29999999999995, 552.89999999999998), (0, 0)))
(u'044854', ((552.60000000000002, 553.00999999999999), (0, 0)))
(u'044901', ((552.46000000000004, 553.00999999999999), (2, 0)))
(u'044903', ((552.29999999999995, 554.35000000000002), (0, 0)))
(u'044914', ((552.39999999999975, 553.55608695652177), (1, 12)))
(u'044915', ((552.35000000000002, 553.63), (3, 1)))
(u'044917', ((552.29999999999995, 554.0), (0, 0)))
(u'044956', ((549.13, 554.35000000000002), (1, 0)))
(u'044958', ((549.15999999999997, 554.35000000000002), (1, 0)))
(u'045001', ((549.22000000000003, 554.35000000000002), (1, 0)))
(u'045143', ((552.54999999999995, 554.35000000000002), (0, 0)))
(u'045201', ((552.53999999999996, 554.35000000000002), (0, 0)))
(u'045252', ((545.89999999999998, 554.35000000000002), (0, 0)))
(u'045305', ((545.89999999999998, 553.95000000000005), (0, 0)))
(u'045310', ((545.89999999999998, 554.15000000000009), (0, 1)))
(u'045313', ((552.29999999999995, 553.96000000000004), (0, 0)))
(u'045314', ((552.30999999999995, 553.95000000000005), (0, 0)))
(u'045317', ((552.29999999999995, 553.94000000000005), (0, 0)))
